date,site_name,sensor_id,avg_corr,peak_std,critical_value,daily_peak,peak_ratio,spread,total_count,label
20241003,원주시,15018524,0.53,7.74,0.0,4.0,48.61,27.0,720.0,0
20241004,원주시,15018524,0.775,3.18,4.0,18.0,61.11,33.0,720.0,0
20241005,원주시,15018524,0.632,3.35,1.0,13.0,45.56,23.0,720.0,0
20241006,원주시,15018524,0.632,6.43,0.0,17.0,57.5,21.0,720.0,0
20241007,원주시,15018524,0.492,5.19,0.0,13.0,50.97,22.0,720.0,0
20241008,원주시,15018524,0.513,4.22,0.0,13.0,45.42,42.0,720.0,0
20241009,원주시,15018524,0.445,3.39,0.0,2.0,55.28,17.0,720.0,0
20241010,원주현장,15018524,0.576,2.62,0.0,3.0,70.0,13.0,720.0,0
20241011,원주현장,15018524,0.551,4.84,0.0,0.0,53.33,16.0,720.0,0
20241012,원주현장,15018524,0.497,3.02,0.0,13.0,51.39,19.0,720.0,0
20241013,원주현장,15018524,0.5,3.14,2.0,13.0,51.53,30.0,720.0,0
20241014,원주현장,15018524,0.564,2.89,0.0,14.0,48.61,24.0,720.0,0
20241015,원주현장,15018524,0.398,5.47,0.0,2.0,50.28,17.0,720.0,0
20241016,원주현장,15018524,0.663,1.8,4.0,9.0,73.47,14.0,720.0,0
20241017,원주현장,15018524,0.836,1.38,7.0,16.0,67.22,51.0,720.0,0
20241018,원주현장,15018524,0.856,0.47,8.0,15.0,65.69,52.0,720.0,0
20241019,원주현장,15018524,0.809,1.57,10.0,18.0,70.83,39.0,720.0,0
20241020,원주현장,15018524,0.922,1.07,11.0,21.0,63.06,40.0,720.0,0
20241021,원주현장,15018524,0.904,0.75,10.0,17.0,67.92,32.0,720.0,1
20241022,원주현장,15018524,0.894,1.6,11.0,17.0,71.11,38.0,720.0,1
20241023,원주현장,15018524,0.884,2.11,13.0,22.0,56.81,34.0,720.0,0
20241024,원주현장,15018524,0.877,1.67,8.0,15.0,62.08,38.0,720.0,0
20241025,원주현장,15018524,0.803,2.89,7.0,21.0,42.36,43.0,720.0,0
20241026,원주현장,15018524,0.367,6.01,4.0,14.0,36.53,55.0,720.0,0
20241027,원주현장,15018524,0.916,1.11,7.0,14.0,67.64,31.0,720.0,0
20241028,원주현장,15018524,0.864,0.69,6.0,16.0,63.47,31.0,720.0,0
20241029,원주현장,15018524,0.901,1.8,6.0,14.0,61.94,48.0,720.0,0
20241030,원주현장,15018524,0.872,1.29,8.0,14.0,66.94,40.0,720.0,0
20241031,원주현장,15018524,0.835,3.24,7.0,16.0,51.39,38.0,720.0,0
20241101,원주현장,15018524,0.875,1.6,6.0,16.0,62.22,56.0,720.0,0
20241102,원주현장,15018524,0.922,0.5,6.0,15.0,68.19,42.0,720.0,0
20241103,원주현장,15018524,0.824,2.11,6.0,14.0,61.25,41.0,720.0,0
20241104,원주현장,15018524,0.896,2.11,12.0,22.0,58.75,24.0,720.0,0
20241105,원주현장,15018524,0.829,0.9,7.0,15.0,65.28,33.0,720.0,0
20241106,원주현장,15018524,0.831,1.67,9.0,14.0,57.92,34.0,720.0,0
20241107,원주현장,15018524,0.872,0.75,8.0,16.0,65.28,57.0,720.0,0
20241108,원주현장,15018524,0.806,2.63,9.0,15.0,52.5,35.0,720.0,0
20241109,원주현장,15018524,0.842,1.8,9.0,20.0,51.81,46.0,720.0,0
20241110,원주현장,15018524,0.817,2.06,7.0,14.0,52.36,39.0,720.0,0
20241111,원주현장,15018524,0.691,5.59,7.0,14.0,51.25,34.0,720.0,0
20241112,원주현장,15018524,0.882,1.57,1.0,9.0,69.44,29.0,720.0,0
20250205,고흥현장,16113831,0.551,6.21,12.0,27.0,28.75,60.0,720.0,0
20250205,부산현장,16083023,0.799,2.67,26.0,33.0,59.03,34.0,720.0,0
20250205,부안군,16082927,0.766,1.71,13.0,18.0,73.06,23.0,720.0,0
20250205,아산현장,13036936,0.802,1.46,3.0,11.0,67.5,26.0,720.0,0
20250205,아산현장,15018652,0.771,4.23,5.0,21.0,54.17,28.0,720.0,0
20250205,아산현장,15050020,0.728,5.22,5.0,22.0,51.25,28.0,720.0,0
